ticker,avg_vol,price
SPY,154.07,279.52
QQQ,89.03,200.85
AAPL,66.15,265.79
TSLA,19.62,565.89
AMZN,7.14,2030
MSFT,72.14,164.73
BA,44.79,154.43
UTX,12.82,62.62
TQQQ,43.40,54.07
STI,2.22,70.13
AMD,90.70,49.32
DIS,27.95,105.05
JPM,31.83,100.89
FB,30.07,172.73
NVDA,18.62,263.42
VIAB,5.05,24.22
TSS,1.09,133.27
DAL,49.61,24.61
AVP,92.65,5.6
BABA,18.74,197.16
VXXB,19.83,42.4
NFLX,9.03,366.88
BAC,116.68,24.57
CCL,95.17,13.24
GOOGL,3.64,1205.53
RCL,27.56,42.3
DIA,6.72,238.81
GLD,14.25,158.42
WCG,0.55,349.92
C,35.27,47.8
COST,5.29,299.86
GOOG,3.26,1208.39
UAL,26.93,31.82
XOM,53.27,46.08
INTC,41.79,57.54
WFC,49.37,32.98
AAL,71.45,12.84
V,19.16,174.81
EEM,86.32,35.98
OXY,52.41,17.54
USO,65.05,5.55
BRK.B,12.33,196.36
ZM,16.16,116.81
JNK,9.69,101.38
SBUX,21.02,71.98
GDX,67.58,28.42
MA,9.67,272.88
SPXL,17.70,32.27
XLK,20.91,85.48
RTX,13.79,67.78
IWM,33.72,123.51
SHOP,3.30,427.46
IVV,8.61,279.22
BKNG,0.85,1429.92
MU,38.93,48.38
JNJ,16.55,142.08
CVX,21.65,87.24
WMT,14.52,121.42
SPXU,20.94,17.8
NEE,4.60,246.26
HD,10.17,203.12
T,63.95,30.31
GS,5.92,183.9
WYNN,8.70,71.51
BRK/B,0.00,196.08
VTI,7.24,139.23
CMG,1.11,766.68
IEFA,0.00,51.59
ADBE,5.74,317.33
CSCO,40.55,41.1
F,123.87,5.61
UNH,7.79,263.84
PYPL,12.62,105.63
CRM,10.58,153.89
GILD,23.96,73.32
HYG,38.62,82.43
TNA,7.61,19.58
NCLH,13.20,13.71
MAR,10.90,85.06
MRK,16.54,82.08
GE,112.39,7.32
QCOM,14.70,72.17
APA,24.51,9.79
KO,31.12,49.37
TVIX,11.66,255.08
NEM,11.37,55.8
PFE,41.96,35.39
PG,16.24,117.35
JD,20.76,42.01
DUK,5.81,91.46
GOLD,25.39,21.87
MS,24.83,41.27
TWTR,25.92,27.91
TGT,7.57,103.74
ABT,14.84,84.51
MCD,8.54,183.16
SPG,8.01,70.91
AXP,10.17,95.02